알라딘 전분야 카테고리 (2021.09.27),,,,,,,,,
"카테고리는 거의 변경되지않습니다만, 경우에 따라 새 카테고리가 추가될 수 있습니다. 따라서 현재 카테고리 체계로 개발이 된 서비스에 영향을 미치지는 않습니다.",,,,,,,,,
CID,카테고리명,몰,1Depth,2Depth,3Depth,4Depth,5Depth,,
1230,가정/요리/뷰티,국내도서,가정/요리/뷰티,,,,,,
90452,가계부,국내도서,가정/요리/뷰티,가계부,,,,,
53471,건강요리,국내도서,가정/요리/뷰티,건강요리,,,,,
53489,결혼/가족,국내도서,가정/요리/뷰티,결혼/가족,,,,,
53513,가정의례,국내도서,가정/요리/뷰티,결혼/가족,가정의례,,,,
53511,가족관계,국내도서,가정/요리/뷰티,결혼/가족,가족관계,,,,
53509,결혼생활,국내도서,가정/요리/뷰티,결혼/가족,결혼생활,,,,
53510,부부관계,국내도서,가정/요리/뷰티,결혼/가족,부부관계,,,,
53512,성생활,국내도서,가정/요리/뷰티,결혼/가족,성생활,,,,
53476,나라별 요리,국내도서,가정/요리/뷰티,나라별 요리,,,,,
53495,기타국가 요리,국내도서,가정/요리/뷰티,나라별 요리,기타국가 요리,,,,
53493,이탈리아 요리,국내도서,가정/요리/뷰티,나라별 요리,이탈리아 요리,,,,
53491,일본요리,국내도서,가정/요리/뷰티,나라별 요리,일본요리,,,,
53492,중국요리,국내도서,가정/요리/뷰티,나라별 요리,중국요리,,,,
53494,프랑스 요리,국내도서,가정/요리/뷰티,나라별 요리,프랑스 요리,,,,
53490,한국요리,국내도서,가정/요리/뷰티,나라별 요리,한국요리,,,,
53474,다이어트 요리,국내도서,가정/요리/뷰티,다이어트 요리,,,,,
53478,도시락,국내도서,가정/요리/뷰티,도시락,,,,,
53480,디저트,국내도서,가정/요리/뷰티,디저트,,,,,
53485,뜨개질/바느질/DIY,국내도서,가정/요리/뷰티,뜨개질/바느질/DIY,,,,,
53500,뜨개질/퀼트/십자수/바느질,국내도서,가정/요리/뷰티,뜨개질/바느질/DIY,뜨개질/퀼트/십자수/바느질,,,,
53502,선물포장/리본/비즈,국내도서,가정/요리/뷰티,뜨개질/바느질/DIY,선물포장/리본/비즈,,,,
53503,종이접기/종이공예,국내도서,가정/요리/뷰티,뜨개질/바느질/DIY,종이접기/종이공예,,,,
53501,패션/소품/DIY,국내도서,가정/요리/뷰티,뜨개질/바느질/DIY,패션/소품/DIY,,,,
53473,사찰요리,국내도서,가정/요리/뷰티,사찰요리,,,,,
53484,살림/정리수납,국내도서,가정/요리/뷰티,살림/정리수납,,,,,
53479,샐러드/샌드위치,국내도서,가정/요리/뷰티,샐러드/샌드위치,,,,,
53472,생활요리,국내도서,가정/요리/뷰티,생활요리,,,,,
53482,술/음료/차,국내도서,가정/요리/뷰티,술/음료/차,,,,,
53497,다도/차,국내도서,가정/요리/뷰티,술/음료/차,다도/차,,,,
53496,술,국내도서,가정/요리/뷰티,술/음료/차,술,,,,
53499,음료,국내도서,가정/요리/뷰티,술/음료/차,음료,,,,
53498,커피,국내도서,가정/요리/뷰티,술/음료/차,커피,,,,
53487,원예/조경/텃밭,국내도서,가정/요리/뷰티,원예/조경/텃밭,,,,,
53483,음식 이야기,국내도서,가정/요리/뷰티,음식 이야기,,,,,
53477,이유식,국내도서,가정/요리/뷰티,이유식,,,,,
53475,전문가/연예인/블로거 요리,국내도서,가정/요리/뷰티,전문가/연예인/블로거 요리,,,,,
53481,제과제빵,국내도서,가정/요리/뷰티,제과제빵,,,,,
53486,집/인테리어,국내도서,가정/요리/뷰티,집/인테리어,,,,,
90456,인테리어,국내도서,가정/요리/뷰티,집/인테리어,인테리어,,,,
90455,집짓기,국내도서,가정/요리/뷰티,집/인테리어,집짓기,,,,
53488,패션/뷰티,국내도서,가정/요리/뷰티,패션/뷰티,,,,,
53507,네일/페디,국내도서,가정/요리/뷰티,패션/뷰티,네일/페디,,,,
53504,메이크업,국내도서,가정/요리/뷰티,패션/뷰티,메이크업,,,,
53506,스타일/패션,국내도서,가정/요리/뷰티,패션/뷰티,스타일/패션,,,,
53508,피부미용,국내도서,가정/요리/뷰티,패션/뷰티,피부미용,,,,
53505,헤어,국내도서,가정/요리/뷰티,패션/뷰티,헤어,,,,
55890,건강/취미/레저,국내도서,건강/취미/레저,,,,,,
53516,건강운동,국내도서,건강/취미/레저,건강운동,,,,,
53537,걷기,국내도서,건강/취미/레저,건강운동,걷기,,,,
53538,기/단학,국내도서,건강/취미/레저,건강운동,기/단학,,,,
53539,기타운동,국내도서,건강/취미/레저,건강운동,기타운동,,,,
53536,요가/체조/스트레칭,국내도서,건강/취미/레저,건강운동,요가/체조/스트레칭,,,,
53521,건강정보,국내도서,건강/취미/레저,건강정보,,,,,
53562,건강에세이/건강정보,국내도서,건강/취미/레저,건강정보,건강에세이/건강정보,,,,
55182,기타,국내도서,건강/취미/레저,건강정보,기타,,,,
53558,남성건강,국내도서,건강/취미/레저,건강정보,남성건강,,,,
53719,노인건강,국내도서,건강/취미/레저,건강정보,노인건강,,,,
53560,두뇌건강,국내도서,건강/취미/레저,건강정보,두뇌건강,,,,
53561,성클리닉,국내도서,건강/취미/레저,건강정보,성클리닉,,,,
53559,아동건강,국내도서,건강/취미/레저,건강정보,아동건강,,,,
53557,여성건강,국내도서,건강/취미/레저,건강정보,여성건강,,,,
53556,음식과 건강,국내도서,건강/취미/레저,건강정보,음식과 건강,,,,
53805,지압/마사지,국내도서,건강/취미/레저,건강정보,지압/마사지,,,,
53522,걷기/육상스포츠,국내도서,건강/취미/레저,걷기/육상스포츠,,,,,
53524,골프,국내도서,건강/취미/레저,골프,,,,,
53532,공예,국내도서,건강/취미/레저,공예,,,,,
53568,뜨개질/퀼트/십자수/바느질,국내도서,건강/취미/레저,공예,뜨개질/퀼트/십자수/바느질,,,,
53570,선물포장/리본/비즈,국내도서,건강/취미/레저,공예,선물포장/리본/비즈,,,,
53571,종이접기/종이공예,국내도서,건강/취미/레저,공예,종이접기/종이공예,,,,
53569,패션/소품/DIY,국내도서,건강/취미/레저,공예,패션/소품/DIY,,,,
53525,구기,국내도서,건강/취미/레저,구기,,,,,
54711,기타,국내도서,건강/취미/레저,구기,기타,,,,
54709,농구,국내도서,건강/취미/레저,구기,농구,,,,
54710,야구,국내도서,건강/취미/레저,구기,야구,,,,
54708,축구,국내도서,건강/취미/레저,구기,축구,,,,
161753,글씨 쓰기,국내도서,건강/취미/레저,글씨 쓰기,,,,,
53528,낚시,국내도서,건강/취미/레저,낚시,,,,,
53514,다이어트,국내도서,건강/취미/레저,다이어트,,,,,
53520,대체의학,국내도서,건강/취미/레저,대체의학,,,,,
53529,등산/캠핑,국내도서,건강/취미/레저,등산/캠핑,,,,,
53526,무예/무술,국내도서,건강/취미/레저,무예/무술,,,,,
53530,바둑/장기,국내도서,건강/취미/레저,바둑/장기,,,,,
53534,반려동물,국내도서,건강/취미/레저,반려동물,,,,,
53523,수영/수상스포츠,국내도서,건강/취미/레저,수영/수상스포츠,,,,,
147647,스티커북,국내도서,건강/취미/레저,스티커북,,,,,
53527,스포츠/레저 기타,국내도서,건강/취미/레저,스포츠/레저 기타,,,,,
53567,기타,국내도서,건강/취미/레저,스포츠/레저 기타,기타,,,,
53566,댄스/무용,국내도서,건강/취미/레저,스포츠/레저 기타,댄스/무용,,,,
53565,스키/스노보드,국내도서,건강/취미/레저,스포츠/레저 기타,스키/스노보드,,,,
53564,인라인/자전거,국내도서,건강/취미/레저,스포츠/레저 기타,인라인/자전거,,,,
53533,원예,국내도서,건강/취미/레저,원예,,,,,
53573,꽃꽂이,국내도서,건강/취미/레저,원예,꽃꽂이,,,,
53574,채소재배,국내도서,건강/취미/레저,원예,채소재배,,,,
53572,화훼,국내도서,건강/취미/레저,원예,화훼,,,,
140262,재난/생존/서바이벌,국내도서,건강/취미/레저,재난/생존/서바이벌,,,,,
53517,정신건강,국내도서,건강/취미/레저,정신건강,,,,,
53518,질병치료와 예방,국내도서,건강/취미/레저,질병치료와 예방,,,,,
53540,간,국내도서,건강/취미/레저,질병치료와 예방,간,,,,
53541,고혈압,국내도서,건강/취미/레저,질병치료와 예방,고혈압,,,,
53552,금연/금주/약물중독,국내도서,건강/취미/레저,질병치료와 예방,금연/금주/약물중독,,,,
53718,기타질병,국내도서,건강/취미/레저,질병치료와 예방,기타질병,,,,
53543,눈/코/입/귀,국내도서,건강/취미/레저,질병치료와 예방,눈/코/입/귀,,,,
53544,당뇨병,국내도서,건강/취미/레저,질병치료와 예방,당뇨병,,,,
53545,변비/치질,국내도서,건강/취미/레저,질병치료와 예방,변비/치질,,,,
53553,비뇨기,국내도서,건강/취미/레저,질병치료와 예방,비뇨기,,,,
53542,심장병,국내도서,건강/취미/레저,질병치료와 예방,심장병,,,,
53546,암,국내도서,건강/취미/레저,질병치료와 예방,암,,,,
53547,위장병,국내도서,건강/취미/레저,질병치료와 예방,위장병,,,,
53554,정신질환,국내도서,건강/취미/레저,질병치료와 예방,정신질환,,,,
53548,중풍과 치매,국내도서,건강/취미/레저,질병치료와 예방,중풍과 치매,,,,
53551,탈모,국내도서,건강/취미/레저,질병치료와 예방,탈모,,,,
53549,피부병,국내도서,건강/취미/레저,질병치료와 예방,피부병,,,,
53550,허리/디스크/척추/통증,국내도서,건강/취미/레저,질병치료와 예방,허리/디스크/척추/통증,,,,
53535,취미기타,국내도서,건강/취미/레저,취미기타,,,,,
53578,기타,국내도서,건강/취미/레저,취미기타,기타,,,,
53575,사진/비디오 촬영,국내도서,건강/취미/레저,취미기타,사진/비디오 촬영,,,,
53577,상식,국내도서,건강/취미/레저,취미기타,상식,,,,
53576,서예,국내도서,건강/취미/레저,취미기타,서예,,,,
114987,컬러링북,국내도서,건강/취미/레저,컬러링북,,,,,
53531,퍼즐/스도쿠/퀴즈,국내도서,건강/취미/레저,퍼즐/스도쿠/퀴즈,,,,,
53519,한의학,국내도서,건강/취미/레저,한의학,,,,,
53515,헬스/피트니스,국내도서,건강/취미/레저,헬스/피트니스,,,,,
170,경제경영,국내도서,경제경영,,,,,,
3057,경제학/경제일반,국내도서,경제경영,경제학/경제일반,,,,,
3059,경제사/경제전망,국내도서,경제경영,경제학/경제일반,경제사/경제전망,,,,
3060,세계 경제사/경제전망,국내도서,경제경영,경제학/경제일반,경제사/경제전망,세계 경제사/경제전망,,,
3062,아시아 경제사/경제전망,국내도서,경제경영,경제학/경제일반,경제사/경제전망,아시아 경제사/경제전망,,,
3058,한국 경제사/경제전망,국내도서,경제경영,경제학/경제일반,경제사/경제전망,한국 경제사/경제전망,,,
8586,경제이론/경제사상,국내도서,경제경영,경제학/경제일반,경제이론/경제사상,,,,
3065,경제이야기,국내도서,경제경영,경제학/경제일반,경제이야기,,,,
3140,경제정책/비평,국내도서,경제경영,경제학/경제일반,경제정책/비평,,,,
8587,화폐/금융/재정,국내도서,경제경영,경제학/경제일반,화폐/금융/재정,,,,
2172,기업 경영,국내도서,경제경영,기업 경영,,,,,
3103,경영 일반,국내도서,경제경영,기업 경영,경영 일반,,,,
2173,경영전략/혁신,국내도서,경제경영,기업 경영,경영전략/혁신,,,,
274,무역,국내도서,경제경영,기업 경영,무역,,,,
284,생산/품질/물류관리,국내도서,경제경영,기업 경영,생산/품질/물류관리,,,,
8593,서비스/고객관리,국내도서,경제경영,기업 경영,서비스/고객관리,,,,
247,세무/재무/회계,국내도서,경제경영,기업 경영,세무/재무/회계,,,,
282,조직/인력/성과관리,국내도서,경제경영,기업 경영,조직/인력/성과관리,,,,
3069,e-비즈니스,국내도서,경제경영,기업 경영,e-비즈니스,,,,
2028,기업/경영자 스토리,국내도서,경제경영,기업/경영자 스토리,,,,,
853,국내 기업/경영자,국내도서,경제경영,기업/경영자 스토리,국내 기업/경영자,,,,
852,국외 기업/경영자,국내도서,경제경영,기업/경영자 스토리,국외 기업/경영자,,,,
854,벤처/인터넷 기업/경영자,국내도서,경제경영,기업/경영자 스토리,벤처/인터넷 기업/경영자,,,,
261,마케팅/세일즈,국내도서,경제경영,마케팅/세일즈,,,,,
268,광고/홍보/PR,국내도서,경제경영,마케팅/세일즈,광고/홍보/PR,,,,
273,네트워크 마케팅,국내도서,경제경영,마케팅/세일즈,네트워크 마케팅,,,,
1632,마케팅/브랜드,국내도서,경제경영,마케팅/세일즈,마케팅/브랜드,,,,
55058,모바일/SNS,국내도서,경제경영,마케팅/세일즈,모바일/SNS,,,,
2169,영업/세일즈,국내도서,경제경영,마케팅/세일즈,영업/세일즈,,,,
263,트렌드/미래예측,국내도서,경제경영,마케팅/세일즈,트렌드/미래예측,,,,
172,재테크/투자,국내도서,경제경영,재테크/투자,,,,,
141092,가상/암호화폐,국내도서,경제경영,재테크/투자,가상/암호화폐,,,,
11502,보험,국내도서,경제경영,재테크/투자,보험,,,,
175,부동산/경매,국내도서,경제경영,재테크/투자,부동산/경매,,,,
11501,세금,국내도서,경제경영,재테크/투자,세금,,,,
2225,재테크/투자 일반,국내도서,경제경영,재테크/투자,재테크/투자 일반,,,,
174,주식/펀드,국내도서,경제경영,재테크/투자,주식/펀드,,,,
177,창업/취업/은퇴,국내도서,경제경영,창업/취업/은퇴,,,,,
3048,벤처/스타트업/인터넷창업,국내도서,경제경영,창업/취업/은퇴,벤처/스타트업/인터넷창업,,,,
32828,은퇴설계,국내도서,경제경영,창업/취업/은퇴,은퇴설계,,,,
180,창업정보,국내도서,경제경영,창업/취업/은퇴,창업정보,,,,
249,취업정보,국내도서,경제경영,창업/취업/은퇴,취업정보,,,,
3049,CEO/비즈니스맨을 위한 능력계발,국내도서,경제경영,CEO/비즈니스맨을 위한 능력계발,,,,,
3104,간부학/리더십,국내도서,경제경영,CEO/비즈니스맨을 위한 능력계발,간부학/리더십,,,,
